Sample	Field	Field_type	Field_position	Date	Species	Dry_weight_mg	Glucose	Fructose	Sucrose	Stachyose	Maltose	Erlose	Melezitose	Trehalose	GF_Ratio	TotSug	H_Ratio
A543	S4	Triticale	5m	08-mai	Aphidius_sp.	0.158	24.03168729	19.31160942	2.961664125	0.839808725	2.185503133	0.47584619	0.079042593	18.03805989	0.554449918	49.88516147	0.0549340091371263
A551	S4	Triticale	5m	08-mai	A._ervi	0.245	21.05081071	12.20832519	2.202510061	0.700928707	1.685641263	0.678098003	0.236787056	7.928885934	0.632933182	38.76310099	0.0670876750203983
Av3	S4	Triticale	5m	03-mai	A._ervi	0.153	60.92263557	10.41839764	3.615917292	0.232408121	2.161910447	1.07727358	0.871818884	1.585007635	0.85396346	79.30036153	0.0518409100751044
A201	I1	Intercrop	5m	04-mai	A._ervi	0.137	66.16119113	16.06560773	4.305868574	0.790579861	1.94907645	1.557978216	0	1.484401604	0.804618349	90.83030197	0.0386110646990729
A204	I1	Intercrop	5m	04-mai	A._ervi	0.102	38.42036647	25.14898292	3.543681567	1.204040514	1.329919136	1.457107648	0	6.143676132	0.604385082	71.10409826	0.0391964296320717
A205	I1	Intercrop	5m	04-mai	A._ervi	0.142	46.36807466	31.53766951	3.983957694	1.040538099	0.854711763	3.241572587	0	0.84966668	0.595181718	87.02652432	0.0470693777788689
A206	I1	Intercrop	5m	04-mai	A._ervi	0.113	43.19199439	35.29495229	3.251228905	0.989673711	3.639877082	1.87470186	0	2.190576618	0.550307997	88.24242823	0.0624935085379393
B22	S1	Triticale	5m	28-mai	A._ervi	0.198	18.42661213	0.871891445	1.267064952	0.300032221	0.618593411	0	0.041068009	1.149384153	0.954820775	21.52526217	0.0306459180283238
A223	I2	Intercrop	50m	08-mai	A._ervi	0.167	133.2651813	56.04727524	3.725754645	0.632532071	1.301229812	0.204026872	0	0.951811517	0.703943014	195.176	0.00771230419723737
B11	S1	Triticale	5m	28-mai	Aphidius_sp.	0.17	48.21890871	33.43236657	0.998659561	0.962070449	0.850589193	0	0.256490171	5.568481706	0.590546915	84.71908465	0.0130676502062514
A254	I3	Intercrop	50m	09-mai	A._ervi	0.187	69.81118843	27.47783777	2.71157566	0.909422526	2.51890826	2.275103355	0	2.768931558	0.71756488	105.704036	0.0453531558151668
A255	I3	Intercrop	50m	09-mai	A._ervi	0.186	89.85830142	51.83626318	7.974836294	1.389429617	7.223382159	6.785458737	0	5.693106737	0.634169008	165.0676714	0.0848672594529615
A279	I3	Intercrop	50m	09-mai	A._ervi	0.19	11.68815522	0.924974887	0.328476868	0.842739722	0.381445773	0	0	1.839636144	0.926665714	14.16579247	0.0269272456029423
A282	I3	Intercrop	50m	09-mai	A._ervi	0.12	88.7471903	45.50765947	1.913186989	0.734738127	3.275256627	2.432719828	0	3.810483434	0.661035266	142.6107513	0.0400248677113589
A275	I3	Intercrop	50m	09-mai	A._ervi	0.251	25.90505623	3.570491286	1.186297112	0.441029741	0.654367149	0.056548242	0	1.679127172	0.878865989	31.81378976	0.0223461397200105
A308	I3	Intercrop	5m	09-mai	A._ervi	0.162	66.20752382	36.36689173	5.514533834	1.425641086	3.705461184	4.363769424	0	5.318655167	0.645458455	117.5838211	0.0686253477095073
B13	S1	Triticale	50m	28-mai	Aphidius_sp.	0.066	20.70032851	9.012695001	1.530924105	0.339716453	0.439848882	0	1.367173425	3.573297017	0.696675264	33.39068637	0.0541175550264677
B21	S1	Triticale	5m	28-mai	A._ervi	0.241	7.302972827	1.433618733	1.627361462	0.354325957	0.160449891	0	0.144554323	1.116558857	0.835906403	11.02328319	0.0276690899383489
B51	I1	Intercrop	5m	29-mai	A._ervi	0.201	103.171511	30.94205519	2.829382963	1.671053934	4.187222164	0.487493612	0	3.543141516	0.769284674	143.2887189	0.032624450912025
B52	I1	Intercrop	50m	28-mai	A._ervi	0.089	14.57079117	5.728377861	0.508130172	0.76891787	0.188982823	0.335786256	0	1.259842021	0.717802347	22.10098615	0.0237441476791297
B53	I1	Intercrop	50m	28-mai	A._ervi	0.035	2.797342858	6.11410455	1.63310532	0.137775834	0.140327196	0.27481207	0	12.80479688	0.313904434	11.09746783	0.0374084676215727
B58	I1	Intercrop	50m	28-mai	A._ervi	0.233	47.93626945	20.22711587	3.307047832	1.225901828	3.209626668	2.102156077	0	6.679846591	0.703255409	78.00811773	0.0680926921398748
B60	I1	Intercrop	50m	28-mai	A._ervi	0.175	50.70672726	23.02515088	3.114613602	1.244392844	4.564532944	6.35257185	0	2.706450844	0.68771783	89.00798938	0.122653088447957
B65	I1	Intercrop	5m	22-mai	A._ervi	0.05	35.45648763	16.80660745	1.152354571	0.602934192	0.84069647	0	0	2.303841903	0.678423036	54.85908032	0.015324654826441
B49	S1	Triticale	50m	30-mai	A._matricariae	0.138	1.712871415	0.116061086	0.359487263	0.261143295	0.010429365	0	0.534559277	10.21444337	0.936541624	2.994551702	0.18199339875682
B88	I2	Intercrop	5m	22-mai	A._ervi	0.16	29.65145876	11.42862422	0.486149584	0.611303697	0.44533845	0.206307555	0	0.764101064	0.721796467	42.82918227	0.0152149999243962
B102	S2	Triticale	50m	23-mai	A._ervi	0.172	48.90988123	23.76120893	2.923319677	0.455879515	0.339427834	0	0.497538739	9.114951588	0.67303079	76.88725593	0.0108856345941386
B34	S1	Triticale	5m	28-mai	A._ervi	0.146	84.10644446	39.09991714	4.156374447	1.715666337	1.49012749	0.93016874	2.151113946	7.542869627	0.68264693	133.6498126	0.0342043889704639
A383	I1	Intercrop	50m	08-mai	A._ervi	0.079	1.778885879	2.297589384	1.714835485	0.496079496	0.093660029	0	0	2.148872325	0.436378431	6.381050273	0.0146778390692676
B125	S2	Triticale	50m	30-mai	A._ervi	0.144	6.504183756	3.59450876	0.809895592	0.437115617	0.024561709	0.173394922	0.391666958	1.491290043	0.644061966	11.93532731	0.0494015433079899
B31	S1	Triticale	5m	28-mai	A._ervi	0.272	59.54340042	16.2618336	4.681415704	1.077502258	1.492925974	0.137552493	0.274983228	5.895085209	0.785478749	83.46961368	0.0228282079069519
B145	S2	Triticale	5m	30-mai	A._ervi	0.095	68.36377969	42.26179944	7.014617444	0.83322796	1.322645515	0.413477685	0.789527407	6.836029514	0.617974434	120.9990751	0.0208733050638004
B39	S1	Triticale	50m	23-mai	A._ervi	0.3	21.26527244	10.03179998	1.514214952	2.162078738	0.301037131	0.202431518	0.263633592	8.488844106	0.679465228	35.74046834	0.0214631278387999
B126	S2	Triticale	50m	30-mai	A._ervi	0.099	51.81385089	27.47447909	4.746597972	0.81952771	1.085702937	0.35427052	0.344649646	6.525011001	0.65348647	86.63907876	0.0205983619463869
B10	S1	Triticale	5m	28-mai	A._ervi	0.081	42.49894114	42.29063	12.9486617	0.394332619	2.405105398	4.501849421	3.996006801	3.900433785	0.501228401	109.0355271	0.0999945789228913
