Date	Parasitoid_Origin	Hour_treatment	Sugar_treatment	Code	Glucose	Fructose	Sucrose	Maltose	Erlose	Melezitose	Stachyose	GF_Ratio	H_Ratio	TotSug	Type	Tmt.12
22/12/2017	Ap	1h	ApH	34	12,59794179	0,50438683	0,207569172	0,455069508	0	0,003914291	0,003241943	0,961504031	0,033327017	13,77212353	Parasitoid	Honeydew
22/12/2017	Ap	1h	ApH	35	20,60510272	2,772047032	0,741207838	0,158733216	0	0	0,022938485	0,881420658	0,006532223	24,30002929	Parasitoid	Honeydew
22/12/2017	Ap	1h	ApH	36	20,9031441	0,911017619	0,484332972	0,364277321	0	0,001833588	0,044195158	0,958237331	0,016121983	22,70880076	Parasitoid	Honeydew
22/12/2017	Ap	1h	SaH	37	9,818321964	0,631649368	0,479150387	0	0	0,003081795	0,014011778	0,939554919	0,00028154	10,94621529	Parasitoid	Honeydew
22/12/2017	Ap	1h	SaH	38	13,85687779	0,491504568	0,175671388	0,348927732	0	0,002031354	0,013051149	0,965744949	0,023573185	14,88806398	Parasitoid	Honeydew
22/12/2017	Ap	1h	SaH	39	28,024637	1,237827164	0,591840934	0,072956186	0	0,003961448	0,030874115	0,957699148	0,002567165	29,96209684	Parasitoid	Honeydew
22/12/2017	Ap	1h	VfN	40	74,60269883	49,51535282	1,01835562	2,455835448	0	0	0	0,601062439	0,019247529	127,5922427	Parasitoid	Nectar
22/12/2017	Ap	1h	VfN	41	51,31993486	24,51900001	0,584865095	2,242494824	0	0	0	0,676696409	0,028506425	78,66629478	Parasitoid	Nectar
22/12/2017	Ap	1h	VfN	42	43,25008247	8,764994821	1,321113864	0,547802321	0	0,017268692	0,050066161	0,831491266	0,010473718	53,95132833	Parasitoid	Nectar
22/12/2017	Ap	1h	Unfed	43	17,00819264	1,295934191	0,381501668	0	0	0,00073142	0,013361702	0,92919989	3,91E-05	18,69972163	Parasitoid	Unfed
22/12/2017	Ap	1h	Unfed	44	17,70511789	0,647701906	0,236555735	0,610735108	0	0,013124008	0,030133846	0,964708317	0,032419434	19,2433685	Parasitoid	Unfed
22/12/2017	Ap	1h	Unfed	45	7,950604916	0,616340613	0,067579281	0	0	0,028544602	0,04059444	0,928055967	0,003279608	8,703663852	Parasitoid	Unfed
21/12/2017	Sa	1h	ApH	46	12,41484597	1,315076425	0,739660641	0	0	0,003578943	0	0,904218219	0,000247281	14,47316198	Parasitoid	Honeydew
22/12/2017	Sa	1h	ApH	47	43,09186445	19,10929117	5,1380821	3,039757148	5,583249965	0	0	0,692782377	0,113517013	75,96224484	Parasitoid	Honeydew
22/12/2017	Sa	1h	ApH	48	31,12598251	3,478092993	0,787970216	0	0	0,024388593	0	0,89948892	0,000688624	35,41643431	Parasitoid	Honeydew
21/12/2017	Sa	1h	SaH	49	10,81096424	0,69526837	0,455550619	0	0	0,005848533	0	0,939574629	0,000488696	11,96763176	Parasitoid	Honeydew
21/12/2017	Sa	1h	SaH	50	9,002516598	1,014027102	0,778785487	0	0	0,074156922	0	0,89876477	0,006822486	10,86948611	Parasitoid	Honeydew
21/12/2017	Sa	1h	SaH	51	19,05042056	4,474611793	1,026162974	0,637598301	0	0,058767213	0	0,809793597	0,027581497	25,24756084	Parasitoid	Honeydew
22/12/2017	Sa	1h	SaH	52	9,322123287	0,998175363	0,348621811	0	0	0,069126542	0,045353994	0,90328038	0,006410458	10,783401	Parasitoid	Honeydew
21/12/2017	Sa	1h	VfN	53	41,58751593	14,96412573	0,81141902	0,588860975	0	0,129556947	0,035854024	0,735390074	0,012361509	58,11733262	Parasitoid	Nectar
21/12/2017	Sa	1h	VfN	54	36,66895744	11,76401848	0,981304505	1,07893153	0	0,039587219	0,275105178	0,757107255	0,02201466	50,80790435	Parasitoid	Nectar
21/12/2017	Sa	1h	VfN	55	65,02603136	40,35986168	7,556596699	0,505487064	0	0,046629618	0,823632517	0,617027853	0,004829646	114,3182389	Parasitoid	Nectar
22/12/2017	Sa	1h	VfN	56	24,94639061	9,577279702	0,560398072	0,071092832	0	0,063340371	0,030122887	0,722588021	0,003813857	35,24862448	Parasitoid	Nectar
21/12/2017	Sa	1h	Unfed	57	20,1141255	1,700025328	0,580996562	0,169853648	0	0,039898322	0,105486733	0,922067774	0,009235949	22,71038609	Parasitoid	Unfed
21/12/2017	Sa	1h	Unfed	58	6,558273481	0,819535816	0,267498304	0	0	0,048020207	0,093368706	0,888918813	0,006166955	7,786696513	Parasitoid	Unfed
